"1","1","Aba North"
"2","1","Aba South"
"3","1","Arochukwu"
"4","1","Bende"
"5","1","Ikwuano"
"6","1","Isiala-Ngwa North"
"7","1","Isiala-Ngwa South"
"8","1","Isikwuato"
"9","1","Nneochi"
"10","1","Obi-Ngwa"
"11","1","Ohafia"
"12","1","Osisioma"
"13","1","Ugwunagbo"
"14","1","Ukwa East"
"15","1","Ukwa West"
"16","1","Umuahia North"
"17","1","Umuahia South"
"18","2","Demsa"
"19","2","Fufore"
"20","2","Genye"
"21","2","Girei"
"22","2","Gombi"
"23","2","guyuk"
"24","2","Hong"
"25","2","Jada"
"26","2","Jimeta"
"27","2","Lamurde"
"28","2","Madagali"
"29","2","Maiha"
"30","2","Mayo Belwa"
"31","2","Michika"
"32","2","Mubi North"
"33","2","Mubi South"
"34","2","Numan"
"35","2","Shelleng"
"36","2","Song"
"37","2","Toungo"
"38","2","Yola"
"39","3","Abak"
"40","3","Eastern-Obolo"
"41","3","Eket"
"42","3","Ekpe-Atani"
"43","3","Essien-Udim"
"44","3","Esit Ekit"
"45","3","Etim-Ekpo"
"46","3","Etinam"
"47","3","Ibeno"
"48","3","Ibesikp-Asitan"
"49","3","Ibiono-Ibom"
"50","3","Ika"
"51","3","Ikono"
"52","3","Ikot-Abasi"
"53","3","Ikot-Ekpene"
"54","3","Ini"
"55","3","Itu"
"56","3","Mbo"
"57","3","Mkpae-Enin"
"58","3","Nsit-Ibom"
"59","3","Nsit-Ubium"
"60","3","Obot-Akara"
"61","3","Okobo"
"62","3","Onna"
"63","3","Oron"
"64","3","Oro-Anam"
"65","3","Udung-Uko"
"66","3","Ukanefun"
"67","3","Uru Offong Oruko"
"68","3","Uruan"
"69","3","Uquo Ibene"
"70","3","Uyo"
"71","4","Aguata"
"72","4","Anambra"
"73","4","Anambra West"
"74","4","Anocha"
"75","4","Awka- North"
"76","4","Awka-South"
"77","4","Ayamelum"
"78","4","Dunukofia"
"79","4","Ekwusigo"
"80","4","Idemili-North"
"81","4","Idemili-South"
"82","4","Ihiala"
"83","4","Njikoka"
"84","4","Nnewi-North"
"85","4","Nnewi-South"
"86","4","Ogbaru"
"87","4","Onisha North"
"88","4","Onitsha South"
"89","4","Orumba North"
"90","4","Orumba South"
"91","4","Oyi"
"92","5","Alkaleri"
"93","5","Bauchi"
"94","5","Bogoro"
"95","5","Damban"
"96","5","Darazo"
"97","5","Dass"
"98","5","Gamawa"
"99","5","Ganjuwa"
"100","5","Giade"
"101","5","Itas/Gadau"
"102","5","Jama'are"
"103","5","Katagum"
"104","5","Kirfi"
"105","5","Misau"
"106","5","Ningi"
"107","5","Shira"
"108","5","Tafawa-Balewa"
"109","5","Toro"
"110","5","Warji"
"111","5","Zaki"
"112","6","Brass"
"113","6","Ekerernor"
"114","6","Kolokuma/Opokuma"
"115","6","Nembe"
"116","6","Ogbia"
"117","6","Sagbama"
"118","6","Southern-Ijaw"
"119","6","Yenegoa"
"120","6","Kembe"
"121","7","Ado"
"122","7","Agatu"
"123","7","Apa"
"124","7","Buruku"
"125","7","Gboko"
"126","7","Guma"
"127","7","Gwer-East"
"128","7","Gwer-West"
"129","7","Katsina-Ala"
"130","7","Konshisha"
"131","7","Kwande"
"132","7","Logo"
"133","7","Makurdi"
"134","7","Obi"
"135","7","Ogbadibo"
"136","7","Ohimini"
"137","7","Oju"
"138","7","Okpokwu"
"139","7","Otukpo"
"140","7","Tarkar"
"141","7","Vandeikya"
"142","7","Ukum"
"143","7","Ushongo"
"144","8","Abadan"
"145","8","Askira-Uba"
"146","8","Bama"
"147","8","Bayo"
"148","8","Biu"
"149","8","Chibok"
"150","8","Damboa"
"151","8","Dikwa"
"152","8","Gubio"
"153","8","Guzamala"
"154","8","Gwoza"
"155","8","Hawul"
"156","8","Jere"
"157","8","Kaga"
"158","8","Kala/Balge"
"159","8","Kukawa"
"160","8","Konduga"
"161","8","Kwaya-Kusar"
"162","8","Mafa"
"163","8","Magumeri"
"164","8","Maiduguri"
"165","8","Marte"
"166","8","Mobbar"
"167","8","Monguno"
"168","8","Ngala"
"169","8","Nganzai"
"170","8","Shani"
"171","9","Abi"
"172","9","Akamkpa"
"173","9","Akpabuyo"
"174","9","Bakassi"
"175","9","Bekwara"
"176","9","Biasi"
"177","9","Boki"
"178","9","Calabar-Municipal"
"179","9","Calabar-South"
"180","9","Etunk"
"181","9","Ikom"
"182","9","Obantiku"
"183","9","Ogoja"
"184","9","Ugep North"
"185","9","Yakurr"
"186","9","Yala"
"187","10","Aniocha North"
"188","10","Aniocha South"
"189","10","Bomadi"
"190","10","Burutu"
"191","10","Ethiope East"
"192","10","Ethiope West"
"193","10","Ika North East"
"194","10","Ika South"
"195","10","Isoko North"
"196","10","Isoko South"
"197","10","Ndokwa East"
"198","10","Ndokwa West"
"199","10","Okpe"
"200","10","Oshimili North"
"201","10","Oshimili South"
"202","10","Patani"
"203","10","Sapele"
"204","10","Udu"
"205","10","Ughilli North"
"206","10","Ughilli South"
